Date,District,Confirmed,Confirmed-total
08/03/2020,Neno,2,59
08/03/2020,Nkhata Bay,0,153
08/03/2020,Nkhotakota,0,35
08/03/2020,Nsanje,1,36
08/03/2020,Ntcheu,0,42
08/03/2020,Ntchisi,0,2
08/03/2020,Phalombe,0,9
08/03/2020,Rumphi,1,30
08/03/2020,Salima,2,39
08/03/2020,Thyolo,1,51
08/03/2020,Zomba,1,123
08/04/2020,Balaka,0,41
08/04/2020,Blantyre,3,1321
08/04/2020,Chikwawa,0,30
08/04/2020,Chiradzulu,0,20
08/04/2020,Chitipa,0,50
08/04/2020,Dedza,0,33
08/04/2020,Dowa,0,60
08/04/2020,Karonga,1,70
08/04/2020,Kasungu,0,43
08/04/2020,Likoma,0,4
08/04/2020,Lilongwe,53,974
08/04/2020,Machinga,0,63
08/04/2020,Mangochi,0,132
08/04/2020,Mchinji,0,51
08/04/2020,Mulanje,0,34
08/04/2020,Mwanza,1,23
08/04/2020,Mwanza PoE,0,202
08/04/2020,Mzimba North,9,495
08/04/2020,Mzimba South,5,120
08/04/2020,Neno,0,59
08/04/2020,Nkhata Bay,11,164
08/04/2020,Nkhotakota,0,35
08/04/2020,Nsanje,0,36
08/04/2020,Ntcheu,0,42
08/04/2020,Ntchisi,0,2
08/04/2020,Phalombe,0,9
08/04/2020,Rumphi,0,30
08/04/2020,Salima,5,44
08/04/2020,Thyolo,0,51
08/04/2020,Zomba,0,123
08/05/2020,Balaka,0,41
08/05/2020,Blantyre,32,1353
08/05/2020,Chikwawa,5,35
08/05/2020,Chiradzulu,0,20
08/05/2020,Chitipa,2,52
08/05/2020,Dedza,0,33
08/05/2020,Dowa,0,60
08/05/2020,Karonga,1,71
08/05/2020,Kasungu,0,43
08/05/2020,Likoma,1,5
08/05/2020,Lilongwe,22,996
08/05/2020,Machinga,0,63
08/05/2020,Mangochi,0,132
08/05/2020,Mchinji,0,51
08/05/2020,Mulanje,0,34
08/05/2020,Mwanza,0,23
08/05/2020,Mwanza PoE,0,202
08/05/2020,Mzimba North,0,495
08/05/2020,Mzimba South,0,120
08/05/2020,Neno,0,59
08/05/2020,Nkhata Bay,0,164
08/05/2020,Nkhotakota,0,35
08/05/2020,Nsanje,0,36
08/05/2020,Ntcheu,0,42
08/05/2020,Ntchisi,0,2
08/05/2020,Phalombe,1,10
08/05/2020,Rumphi,0,30
08/05/2020,Salima,0,44
08/05/2020,Thyolo,0,51
08/05/2020,Zomba,1,124
08/06/2020,Balaka,1,42
08/06/2020,Blantyre,19,1372
08/06/2020,Chikwawa,0,35
08/06/2020,Chiradzulu,2,22
08/06/2020,Chitipa,0,52
08/06/2020,Dedza,1,34
08/06/2020,Dowa,3,63
08/06/2020,Karonga,1,72
08/06/2020,Kasungu,0,43
08/06/2020,Likoma,0,5
08/06/2020,Lilongwe,24,1020
08/06/2020,Machinga,0,63
08/06/2020,Mangochi,1,133
08/06/2020,Mchinji,0,51
