Country,Date,District,Confirmed,Confirmed-total,Deaths,Deaths-total,Recovered,Recovered-total,Imported,Local,New Arrival-T,Cumulative high-risk traveller,Contacts on Follow-up,Contacts discharged,Samples Recieved,Total Tested,Positive,Negative,Average Tests,Age group,Male,Female,Unknown,Local Transmission,Imported
Malawi,21 July 2020,Thyolo,0,46,0,1,0,28,26,20,,,,,,,,,,,,,,,
Malawi,21 July 2020,Zomba,3,78,2,3,4,16,26,52,,,,,,,,,,,,,,,
Malawi,22 July 2020,Balaka,0,37,0,1,0,15,34,3,,,,,,,,,,,,,,,
Malawi,22 July 2020,Blantyre,84,966,4,32,5,140,130,836,,,,,,,,,,,,,,,
Malawi,22 July 2020,Chikwawa,0,20,0,0,0,17,16,4,,,,,,,,,,,,,,,
Malawi,22 July 2020,Chiradzulu,2,16,0,0,2,24,12,4,,,,,,,,,,,,,,,
Malawi,22 July 2020,Chitipa,1,44,0,2,0,36,4,40,,,,,,,,,,,,,,,
Malawi,22 July 2020,Dedza,0,26,0,0,1,18,23,3,,,,,,,,,,,,,,,
Malawi,22 July 2020,Dowa,6,57,0,1,2,9,26,31,,,,,,,,,,,,,,,
Malawi,22 July 2020,Karonga,0,35,0,1,0,11,12,23,,,,,,,,,,,,,,,
Malawi,22 July 2020,Kasungu,4,36,0,1,0,5,14,22,,,,,,,,,,,,,,,
Malawi,22 July 2020,Likoma,1,2,0,0,0,0,0,2,,,,,,,,,,,,,,,
Malawi,22 July 2020,Lilongwe,16,658,0,14,0,354,87,571,,,,,,,,,,,,,,,
Malawi,22 July 2020,Machinga,0,44,0,0,0,26,44,0,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mangochi,0,111,0,0,0,61,83,28,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mchinji,0,46,0,5,0,12,5,41,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mulanje,0,30,0,1,0,10,9,21,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mwanza,0,28,0,1,5,9,13,15,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mwanza PoE,0,173,0,0,6,173,173,0,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mzimba North,0,99,0,1,3,21,29,70,,,,,,,,,,,,,,,
Malawi,22 July 2020,Mzimba South,24,445,0,10,0,172,11,434,,,,,,,,,,,,,,,
Malawi,22 July 2020,Neno,1,40,0,0,0,10,2,38,,,,,,,,,,,,,,,
Malawi,22 July 2020,Nkhata Bay,14,107,0,1,0,31,30,77,,,,,,,,,,,,,,,
Malawi,22 July 2020,Nkhotakota,0,32,0,0,0,22,29,3,,,,,,,,,,,,,,,
Malawi,22 July 2020,Nsanje,0,31,0,0,0,19,23,8,,,,,,,,,,,,,,,
Malawi,22 July 2020,Ntcheu,0,37,0,0,0,13,26,11,,,,,,,,,,,,,,,
Malawi,22 July 2020,Ntchisi,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,22 July 2020,Phalombe,0,9,0,0,0,5,3,6,,,,,,,,,,,,,,,
Malawi,22 July 2020,Rumphi,0,25,0,0,0,2,7,18,,,,,,,,,,,,,,,
Malawi,22 July 2020,Salima,0,23,0,0,0,21,18,5,,,,,,,,,,,,,,,
Malawi,22 July 2020,Thyolo,0,46,0,1,0,28,26,20,,,,,,,,,,,,,,,
Malawi,22 July 2020,Zomba,0,78,1,4,2,18,26,52,,,,,,,,,,,,,,,
Malawi,23 July 2020,Balaka,1,38,0,1,0,15,34,4,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Blantyre,25,991,0,32,0,140,130,861,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Chikwawa,0,20,0,0,0,17,16,4,2,,,,,,,,,,,,,,
Malawi,23 July 2020,Chiradzulu,1,17,0,0,0,24,12,5,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Chitipa,2,46,0,2,2,38,4,42,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Dedza,0,26,0,0,0,18,23,3,4,,,,,,,,,,,,,,
Malawi,23 July 2020,Dowa,3,60,0,1,3,12,27,33,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Karonga,4,39,1,2,0,11,12,27,0,,,,,,,,,,,,,,
